"Inspection","Permit_ID","Date","Time","Inspection_Type","Critical_Violations","Non_Critical_Violations","Critical_Violations_Corrected_On_Site","Critical_Violations_To_Be_Resolved","Non_Critical_Violations_Corrected_On_Site","Non_Critical_Violations_To_Be_Resolved"
1023,5,"55","1","Wenzhe","0","0","0","0","0","0"
7105,3093,"2010-6-3","10:45","0","1","0","0","0","0","0"
7106,1806,"2010-6-3","13:30",NULL,"0","2","0","0","0","0"
7108,2663,"2010-6-3","14:15","Routine","0","1","0","0","0","0"
7110,3629,"2010-5-26","10:45","Routine","6","9","1","0","0","0"
7118,4148,"2010-6-18","12:10","Routine","1","1","0","0","1","0"
7119,916,"2010-6-18","13:15","Routine","8","11","3","0","3","0"
7121,4147,"2010-6-18","12:55","Routine","2","2","0","0","1","0"
7122,3178,"2010-6-17","11:30","Routine","2","4","0","0","0","0"
7123,2606,"2010-06-16","11:20","Routine","0","3","0","0","2","0"
7126,2920,"2010-6-1","12:50","Follow-up","1","0","0","0","0","0"
7127,2978,"2010-6-1","12:20","Follow-up","0","0","0","0","0","0"
7128,1287,"2010-6-1","11:25","Follow-up","1","0","0","0","0","0"
7129,1309,"2010-6-1","10:30","Follow-up","0","0","0","0","0","0"
7130,3351,"2010-6-2","14:00","Complaint","1","4","0","0","1","0"
7131,4181,"2010-6-21","13:55","Complaint","7","6","1","0","3","0"
7132,3322,"2010-6-2","13:05","Follow-up","1","0","0","0","0","0"
7137,1969,"2010-6-17","10:25","Follow-up","0","0","0","0","0","0"
7139,762,"2010-6-2","13:15","Routine","2","4","1","0","0","0"
7140,2510,"2010-6-11","11:35","Routine","2","1","0","0","0","0"
7141,2510,"2010-6-21","12:00","Follow-up","0","0","0","0","0","0"
7144,976,"2010-6-3","10:35","Routine","4","3","0","0","0","0"
7148,2436,"2010-6-11","14:15","Routine","1","1","1","0","1","0"
7149,2450,"2010-6-22","13:40","Follow-up","0","0","0","0","0","0"
7155,1191,"2010-6-9","14:15","Routine","2","3","0","0","0","0"
7156,1378,"2010-6-14","11:15","Routine","2","1","0","0","0","0"
7157,1519,"2010-6-10","14:10","Complaint","2","3","0","0","3","0"
7160,1519,"2010-6-15","16:00","Follow-up","0","0","0","0","0","0"
7161,4620,"2010-6-8","15:00","Preoperational","0","0","0","0","0","0"
7162,860,"2010-6-1","14:40","Routine","2","2","1","0","0","0"
7164,534,"2010-6-17","12:45","Follow-up","1","2","1","0","0","0"
7165,970,"2010-6-17","14:15","License Renewal","0","3","0","0","0","0"
7170,3876,"2010-6-14","13:30","Routine","1","3","0","0","0","0"
7175,2971,"2010-6-17","11:45","Routine","5","0","0","0","0","0"
7177,4353,"2010-5-25","11:40","Complaint","2","2","1","0","0","0"
7178,534,"2010-6-7","14:10","Complaint","3","4","0","0","0","0"
7181,2226,"2010-6-16","10:30","Routine","2","2","2","0","0","0"
7187,2701,"2010-4-15","11:10","Routine","9","16","5","0","2","0"
7196,4671,"2010-4-6","10:55","Complaint","10","12","7","0","5","0"
7197,3513,"2010-2-25","13:20","License Renewal","4","5","2","0","2","0"
7198,1561,"2010-4-1","10:30","Routine","14","9","9","0","1","0"
7206,525,"2010-6-1","10:00","Follow-up","0","1","0","0","1","1"
7212,4672,"2010-3-29","10:15","Routine","8","6","3","0","2","0"
7215,2450,"2010-6-15","11:55","License Renewal","5","5","0","0","0","0"
7216,1732,"2010-6-11","10:45","Routine","0","1","0","0","1","0"
7229,4684,"2010-6-23","15:00","Preoperational","0","0","0","0","0","0"
7235,4690,"2010-6-29","14:30","Preoperational","1","1","1","0","0","0"
7242,4692,"2010-6-1","14:00","Preoperational","0","1","0","0","1","0"
7248,3861,"2010-6-30","00:30","Routine","0","2","0","0","0","0"
7249,1909,"2010-6-30","12:15","Routine","3","0","0","0","0","0"
7250,3966,"2010-6-28","10:30","Routine","1","3","1","0","3","0"
7251,3875,"2010-6-9","11:55","Routine","0","5","0","0","2","0"
7253,4701,"2010-6-14","14:30","Routine","0","0","0","0","0","0"
7254,3533,"2010-7-1","23:20","Routine","2","3","1","0","0","0"
7257,1703,"2010-7-1","15:45","Follow-up","0","0","0","0","0","0"
7260,3012,"2010-6-14","11:35",NULL,"0","3","0","0","2","0"
7261,3336,"2010-6-3","11:25","Routine","0","1","0","0","0","0"
7264,4706,"2010-6-22","02:20","Follow-up","0","0","0","0","0","0"
7268,4708,"2010-7-1","15:30","Routine","3","2","0","0","0","0"
7278,3876,"2010-6-29","14:05","Follow-up","0","0","0","0","0","0"
7279,3875,"2010-6-29","14:20","Follow-up","0","0","0","0","0","0"
7283,4715,"2010-6-18","13:00","Routine","5","4","1","0","0","0"
7285,2260,"2010-6-29","12:15","Routine","2","1","2","0","0","0"
7286,4395,"2010-6-28","13:25","Follow-up","2","0","2","0","0","0"
7288,2799,"2010-6-16","12:45","Routine","3","3","0","0","0","0"
7289,2799,"2010-6-28","10:30","Follow-up","0","0","0","0","0","0"
7291,3283,"2010-6-14","14:40","Routine","0","2","0","0","1","0"
7292,1969,"2010-6-17","10:30","Follow-up","0","0","0","0","0","0"
7298,2057,"2010-5-21","13:30","Routine","1","0","1","0","0","0"
7299,4720,"2010-7-2","11:30","Preoperational","0","0","0","0","0","0"
7300,4721,"2010-07-02","09:55","0","0","2","0","0","1","0"
7301,4722,"2010-4-5","15:00","Routine","0","0","0","0","0","0"
7302,4723,"2010-4-5","14:00","Complaint","1","1","0","0","0","0"
7307,1743,"2010-4-5","13:00","Routine","2","6","1","0","2","0"
7311,4726,"2010-4-5","12:00","License Renewal","1","3","1","0","1","0"
7314,3923,"2010-4-5","10:15",NULL,"3","3","2","0","0","0"
7330,2811,"2010-4-6","11:45","Routine","1","3","1","0","1","0"
7332,4268,"2010-5-3","12:45","Complaint","1","3","1","0","3","0"
7333,2639,"2010-4-6","13:45","Supervisor Reviewed","0","1","0","0","0","0"
7335,2964,"2010-4-7","11:00",NULL,"1","1","1","0","0","0"
7340,4741,"2010-4-19","15:30","Preoperational","0","0","0","0","0","0"
7344,1920,"2010-5-12","15:35","Routine","3","10","3","0","0","0"
7347,4745,"2010-4-27","13:30","Preoperational","0","3","0","0","1","0"
7348,4608,"2010-5-11","12:30","Routine","2","3","2","0","3","0"
7350,2239,"2010-5-11","15:45","Follow-up","0","0","0","0","0","0"
7356,843,"2010-4-21","11:15","Complaint","3","4","0","0","0","0"
7357,4750,"2010-4-22","14:10","Preoperational","0","1","0","0","0","0"
7368,2412,"2010-4-7","11:45",NULL,"0","2","0","0","1","0"
7369,2498,"2010-4-7","10:15",NULL,"0","1","0","0","1","0"
